a24-p03	00:90:f5:fb:54:9c
a24-p04	80:fa:5b:01:93:d1
a24-p05	80:fa:5b:01:91:e4
a24-p06	80:fa:5b:01:93:bb
a24-p07	80:fa:5b:01:92:69
a24-p08	80:fa:5b:01:92:a8
a24-p09	80:fa:5b:01:94:92
a24-p10	80:fa:5b:01:94:ee
a24-p11	80:fa:5b:01:93:7b
a24-p12	80:fa:5b:01:92:a4
a24-p13	80:fa:5b:01:91:df
a24-p14	80:fa:5b:01:90:40
a24-p15	80:fa:5b:01:95:80
a24-p16	80:fa:5b:01:92:ff
a24-p17	80:fa:5b:01:90:f0
a24-p18	80:fa:5b:01:92:f9
a24-p19	80:fa:5b:01:92:11
a24-p20	80:fa:5b:01:92:51
a25-p01	70:5a:b6:f0:80:9f
a25-p02	70:5a:b6:e8:e7:23
a25-p04	70:5a:b6:f0:7d:94
a25-p05	78:e4:00:b9:35:93
a25-p06	70:5a:b6:3d:16:95
a25-p07	88:ae:1d:1a:fd:63
a25-p08	78:e4:00:76:3b:4e
a25-p09	70:5a:b6:f0:93:80
a25-p10	78:e4:00:d2:c2:b4
a25-p11	70:5a:b6:f0:a5:65
a25-p12	70:5a:b6:34:89:0c
a25-p13	70:5a:b6:f0:7e:01
a25-p14	70:5a:b6:f0:85:52
a25-p15	88:ae:1d:1a:ff:44
a25-p16	70:5a:b6:f0:89:29
a25-p17	78:e4:00:d2:68:1f
a25-p18	78:e4:00:76:a5:36
a25-p19	70:5a:b6:f0:7c:ab
a25-p20	78:e4:00:b9:2b:4d
a25-p21	70:5a:b6:f0:a5:f3
a25-p22	70:5a:b6:f0:a5:f0
a25-p23	70:5a:b6:f0:92:21
a25-p24	70:5a:b6:f2:90:7b
a25-p25	70:5a:b6:3d:f9:a7
a25-p26	88:ae:1d:01:d5:d7
a25-p27	70:5a:b6:34:73:56
a25-p28	70:5a:b6:f0:4a:ea
a26-p01	80:fa:5b:01:95:9d
a26-p02	80:fa:5b:01:91:34
a26-p03	80:fa:5b:01:90:e2
a26-p04	80:fa:5b:01:90:2b
a26-p05	80:fa:5b:01:93:9e
a26-p06	80:fa:5b:01:96:40
a26-p07	80:fa:5b:01:95:8f
a26-p08	80:fa:5b:01:92:bd
a26-p09	80:fa:5b:01:92:af
a26-p10	80:fa:5b:01:90:0e
a26-p11	80:fa:5b:01:92:79
a26-p12	80:fa:5b:01:93:1f
a26-p13	80:fa:5b:01:91:e5
a26-p14	80:fa:5b:01:94:86
